name,stage,calls,cpu_time_total_us,cuda_time_total_us,self_cpu_time_total_us,self_cuda_time_total_us,run_name
profile/warmup,profile/warmup,1,80325.525,11858.463000000138,1814.5849999999773,0.0,small_ctx256_train_step_fp32
Optimizer.zero_grad#AdamW.zero_grad,,2,291.062000000009,0,291.062000000009,0,small_ctx256_train_step_fp32
forward,forward,2,45405.083,7858.1279999998915,12178.277000000191,0.0,small_ctx256_train_step_fp32
aten::index,,2,1767.5209999999956,11.48899999999594,117.79600000001437,7.616999999995642,small_ctx256_train_step_fp32
aten::as_strided,,4796,1663.1140000001212,0,1663.1140000001212,0,small_ctx256_train_step_fp32
aten::reshape,,1648,6029.205000000179,839.10700000009,1945.4199999999043,0.0,small_ctx256_train_step_fp32
aten::view,,1724,1622.8680000001991,0,1622.8680000001991,0,small_ctx256_train_step_fp32
Activity Buffer Request,,1,1587.154,3.8720000000002983,1587.154,3.8720000000002983,small_ctx256_train_step_fp32
cudaLaunchKernel,,7650,21829.800999999577,0,21829.800999999577,0,small_ctx256_train_step_fp32
forward,forward,2,0,43501.344000000005,0,43501.344000000005,small_ctx256_train_step_fp32
"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",,2,0,7.616999999995642,0,7.616999999995642,small_ctx256_train_step_fp32
aten::to,,746,222.24099999984946,1.4730000000054133,121.06499999986454,0.0,small_ctx256_train_step_fp32
aten::pow,,594,5153.419999999731,1857.6279999999133,2960.321000000057,1736.9219999999223,small_ctx256_train_step_fp32
aten::result_type,,594,62.56500000006827,0,62.56500000006827,0,small_ctx256_train_step_fp32
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul>)",,494,0,1675.4849999999096,0,1675.4849999999096,small_ctx256_train_step_fp32
aten::mean,,52,683.2689999999907,227.04200000000264,493.1300000000447,227.04200000000264,small_ctx256_train_step_fp32
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>)",,52,0,227.04200000000264,0,227.04200000000264,small_ctx256_train_step_fp32
aten::add,,862,5989.365999999913,2781.2560000000435,3367.8649999996082,2781.2560000000435,small_ctx256_train_step_fp32
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",,274,0,719.9679999998802,0,719.9679999998802,small_ctx256_train_step_fp32
aten::rsqrt,,50,469.2819999999738,67.35900000006814,313.8219999999874,67.35900000006814,small_ctx256_train_step_fp32
"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",,50,0,67.35900000006814,0,67.35900000006814,small_ctx256_train_step_fp32
